Test, Algo, Pass, NodesExp, Shortest 
19, DFS, passed, 8, 8
19, BI-DIR, passed, 7, 0
19, MBAstar, passed, 28, 0
18, Astar, passed, 40, 8
18, Greedy, passed, 8, 8
18, BFS, passed, 46, 8
18, DFS, passed, 8, 8
18, BI-DIR, passed, 7, 0
18, MBAstar, passed, 28, 0
17, Astar, passed, 40, 8
17, Greedy, passed, 8, 8
17, BFS, passed, 46, 8
17, DFS, passed, 8, 8
17, BI-DIR, passed, 7, 0
17, MBAstar, passed, 28, 0
16, Astar, passed, 40, 8
16, Greedy, passed, 8, 8
16, BFS, passed, 46, 8
16, DFS, passed, 8, 8
16, BI-DIR, passed, 7, 0
16, MBAstar, passed, 28, 0
15, Astar, passed, 40, 8
15, Greedy, passed, 8, 8
15, BFS, passed, 46, 8
15, DFS, passed, 8, 8
15, BI-DIR, passed, 7, 0
15, MBAstar, passed, 28, 0
14, Astar, passed, 40, 8
14, Greedy, passed, 8, 8
14, BFS, passed, 46, 8
14, DFS, passed, 8, 8
14, BI-DIR, passed, 7, 0
14, MBAstar, passed, 28, 0
13, Astar, passed, 40, 8
13, Greedy, passed, 8, 8
13, BFS, passed, 46, 8
13, DFS, passed, 8, 8
13, BI-DIR, passed, 7, 0
13, MBAstar, passed, 28, 0
12, Astar, passed, 40, 8
12, Greedy, passed, 8, 8
12, BFS, passed, 46, 8
12, DFS, passed, 8, 8
12, BI-DIR, passed, 7, 0
12, MBAstar, passed, 28, 0
11, Astar, passed, 40, 8
11, Greedy, passed, 8, 8
11, BFS, passed, 46, 8
11, DFS, passed, 8, 8
11, BI-DIR, passed, 7, 0
11, MBAstar, passed, 28, 0
10, Astar, passed, 40, 8
10, Greedy, passed, 8, 8
10, BFS, passed, 46, 8
10, DFS, passed, 8, 8
10, BI-DIR, passed, 7, 0
10, MBAstar, passed, 28, 0
9, Astar, passed, 40, 8
9, Greedy, passed, 8, 8
9, BFS, passed, 46, 8
9, DFS, passed, 8, 8
9, BI-DIR, passed, 7, 0
9, MBAstar, passed, 28, 0
8, Astar, passed, 40, 8
8, Greedy, passed, 8, 8
8, BFS, passed, 46, 8
8, DFS, passed, 8, 8
8, BI-DIR, passed, 7, 0
8, MBAstar, passed, 28, 0
7, Astar, passed, 40, 8
7, Greedy, passed, 8, 8
7, BFS, passed, 46, 8
7, DFS, passed, 8, 8
7, BI-DIR, passed, 7, 0
7, MBAstar, passed, 28, 0
6, Astar, passed, 40, 8
6, Greedy, passed, 8, 8
6, BFS, passed, 46, 8
6, DFS, passed, 8, 8
6, BI-DIR, passed, 7, 0
6, MBAstar, passed, 28, 0
5, Astar, passed, 40, 8
5, Greedy, passed, 8, 8
5, BFS, passed, 46, 8
5, DFS, passed, 8, 8
5, BI-DIR, passed, 7, 0
5, MBAstar, passed, 28, 0
4, Astar, passed, 40, 8
4, Greedy, passed, 8, 8
4, BFS, passed, 46, 8
4, DFS, passed, 8, 8
4, BI-DIR, passed, 7, 0
4, MBAstar, passed, 28, 0
3, Astar, passed, 40, 8
3, Greedy, passed, 8, 8
3, BFS, passed, 46, 8
3, DFS, passed, 8, 8
3, BI-DIR, passed, 7, 0
3, MBAstar, passed, 28, 0
2, Astar, passed, 40, 8
2, Greedy, passed, 8, 8
2, BFS, passed, 46, 8
2, DFS, passed, 8, 8
2, BI-DIR, passed, 7, 0
2, MBAstar, passed, 28, 0
1, Astar, passed, 40, 8
1, Greedy, passed, 8, 8
1, BFS, passed, 46, 8
1, DFS, passed, 8, 8
1, BI-DIR, passed, 7, 0
1, MBAstar, passed, 28, 0
